"","randomID","onPhone","make","model","osVersion","os","browser","filter","filterOn","mode","brightness","colour","accessibility","months","hours","filters","location","room","lighting","age","gender","genderSelfDescription","colourDeficiency","trueTone","trueToneOn"
"1","0ImJmLrmJU3owafgtveadmTE","yes","Samsung ","Sm5990b2/ds","RZCTB0LCA4V","android","Chrome","yes","yes","dark","yes","don't know","don't know","24","8","none","campus","AH-G4","majority artificial","19","female","","no","",""
"2","0uBeBQLvaRNSoOyhZjhi2Zgt","yes","iPhone ","iPhone 14","17.6.1","ios","Safari ","no","","dark","yes","don't know","no","10","8","none","campus","Pevensy 1B4","majority artificial","22","female","","no","don't know",""
"3","0v8hNsn1xHpZZIRNATk7WhrU","yes","iphone ","14","17.6.1","ios","safari","no","","dark","yes","don't know","no","24","5","none","campus","1B04","completely artificial","19","female","","no","yes","yes"
"4","1JlUblC9mTAjzHed1mMDbbIY","yes","iPhone 13 ","iPhone 13 Pro Max","IOS 17","ios","Safari","no","","dark","yes","no","no","24","5","none","home","","completely natural","19","male","","no","don't know",""
"5","1mJoRuwAfzSvpT2EZ4ilvK5n","yes","iphone","iPhone 12","16.6.1","ios","safari","no","","dark","yes","don't know","no","2","5","none","home","","majority artificial","19","female","","no","don't know",""
"6","1PHpLaKwvgq46r1PygaaZuyh","yes","Samsung Galaxy ","SM-A125F/DSN","Android version 12","android","Google Chrome","no","","dark","no","don't know","no","48","3","none","campus","Pevensey 1B4","completely artificial","20","female","","no","",""
"7","1Twpf2GLIRmEEVcYihQuVLRN","yes","Iphone","iPhone 15","IOS 17.6.1","ios","Safari ","no","","dark","yes","don't know","no","6","6","none","campus","Pev 1B4","completely natural","20","female","","no","yes","yes"
"8","25kvErr25ZMe7GNmgPvkYZaq","yes","Iphone","12 pro max","iOS 18","ios","Safari","no","","other","no","yes","no","24","6","none","campus","Penney 1b4","majority artificial","19","female","","no","don't know",""
"9","2h5g6TLCORqYF8EVgcMe5Eiy","yes","Samsung galaxy s20","SM-G981B/DS","5.1","android","Chrome","yes","yes","light","yes","don't know","no","15","6","none","campus","Pev-1B4","majority artificial","20","female","","no","",""
"10","2iGU52xZAXIiD8ftjeS0uNoa","yes","iPhone XR ","Xr ","17.6.1","ios","Safari ","no","","light","yes","no","no","15","6","none","campus","B104","majority artificial","19","female","","no","don't know",""
"11","2NtalT0GrNBKp2UxA4LE6w4j","no","Laptop- Lenovo","N/A","N/A","android","Safari","no","","don't know","no","no","no","14","2","none","campus","Pevenesy 1- 1B4","majority artificial","19","female","","no","",""
"12","2pxBoru8JxYKWnM7wX2rvy22","yes","iPhone ","Na","Na","ios","Safari","no","","light","don't know","don't know","no","30","8","none","campus","Pevensy 1B5","majority artificial","20","female","","no","don't know",""
"13","2qAUMUTVx6GInpV20RzuwCQk","yes","Apple","iPhone 15 Pro Max","IOS 18","ios","Chrome","no","","light","yes","yes","no","2","2","none","campus","1B","majority artificial","22","female","","no","don't know",""
"14","2RH8zFus98dPyxWi3XZTD3eu","yes","apple iphone","iphone 11 pro","17.6.1","ios","chrome","yes","yes","light","yes","yes","no","36","8","none","campus","Pevensey 1B4","majority artificial","19","female","","no","yes","yes"
"15","2uPZ76uNBJ8LO6IRgvbY0yBn","yes","I phone ","15 pro","17.5.1","ios","Safari","don't know","","don't know","yes","don't know","don't know","1","8","none","campus","AH-G4","majority artificial","19","female","","no","yes","yes"
"16","2zaj5eifOiJ589OZNVCJ5mGJ","yes","iPhone 14 Pro max","A2894","18.0","ios","Safari","no","","dark","no","don't know","no","20","7","none","campus","AH-G4","majority artificial","19","female","","no","don't know",""
"17","3MGZrC6tvstI7IkzTHRbo8qb","yes","apple","iPhone 13 Pro","18.0","ios","safari","no","","dark","yes","don't know","no","18","6","none","campus","pevensey 1 1B4","majority artificial","19","female","","no","don't know",""
"18","3YDTZf4qjX6y6JT5HZ04W55b","yes","iphone","MWLX2B/A","ios 18.0","ios","safari ","yes","no","dark","yes","no","no","38","4","none","campus","Pevensey1 1B4","majority artificial","19","female","","no","yes","yes"
"19","4ccfzkOESR3ZCRKfy2Gc7wqz","yes","iphone","11","17.6.1","ios","safari","yes","no","dark","yes","don't know","no","15","3","none","campus","Pevensey computer 1B4","majority artificial","19","female","","no","don't know",""
"20","4slQ40w48W8IX1gHVNbRG9v4","yes","Samsung","S21","Android","android","Google","yes","yes","dark","don't know","don't know","no","6","10","none","campus","Silverstone sb 325","completely artificial","19","prefer not to say","","no","",""
"21","4ZU6Bh3xuxwwr2w7Q92RedTO","yes","iPhone ","MWLX2B/A","18.0 ios","ios","Safari","no","","dark","yes","yes","no","15","6","none","campus","B04","majority artificial","21","female","","no","don't know",""
"22","5bpknR5O2HDMnBPeBuMT8xfy","yes","iPhone 12","MGJC3B/A","iOS 17.6.1 (21G93)","ios","safari ","don't know","","light","yes","don't know","no","24","8","none","campus","Silverstone SB325","completely artificial","20","female","","no","don't know",""
