"","targetColour","startingLCH.l","startingLCH.c","startingLCH.h","finalLCH.l","finalLCH.c","finalLCH.h","finalRGB.r","finalRGB.g","finalRGB.b","rt","randomID","trialN"
"1","White", 85.00000000,  1.89063023, 88.00000000,8.500000e+01,1.890630e+00,8.800000e+01,214,212,209, 14921.5,"0ImJmLrmJU3owafgtveadmTE","1"
"2","Green", 45.00000000, 25.00000000,360.00000000,4.500000e+01,2.500000e+01,1.160000e+02,102,111, 68, 32613.0,"0ImJmLrmJU3owafgtveadmTE","2"
"3","White", 85.00000000, 13.39819791,  9.00000000,8.500000e+01,1.339820e+01,9.000000e+00,239,204,209,  1404.6,"0ImJmLrmJU3owafgtveadmTE","3"
"4","Yellow", 50.00000000, 50.00000000, 60.00000000,5.000000e+01,5.000000e+01,9.200000e+01,138,118, 24, 12524.5,"0ImJmLrmJU3owafgtveadmTE","4"
"5","White", 85.00000000,  2.53233916, 29.00000000,8.500000e+01,2.532339e+00,2.900000e+01,218,211,210,  1027.7,"0ImJmLrmJU3owafgtveadmTE","5"
"6","Red", 40.00000000, 45.00000000,342.00000000,4.000000e+01,4.500000e+01,3.400000e+01,157, 65, 55, 10663.9,"0ImJmLrmJU3owafgtveadmTE","6"
"7","White", 85.00000000, 12.79058377, 93.00000000,8.500000e+01,1.279058e+01,9.300000e+01,221,212,188,   995.0,"0ImJmLrmJU3owafgtveadmTE","7"
"8","Blue", 40.00000000, 25.00000000,360.00000000,4.000000e+01,2.500000e+01,2.930000e+02, 90, 91,132, 15204.1,"0ImJmLrmJU3owafgtveadmTE","8"
"9","White", 85.00000000, 10.21485904,194.00000000,8.500000e+01,8.780807e+00,7.623998e+01,223,210,196, 10530.3,"0ImJmLrmJU3owafgtveadmTE","9"
"10","Yellow", 50.00000000, 50.00000000,132.00000000,5.000000e+01,5.000000e+01,7.900000e+01,154,111, 29, 27717.6,"0ImJmLrmJU3owafgtveadmTE","10"
"11","White", 85.00000000, 18.67652085,313.00000000,8.500000e+01,1.867652e+01,3.130000e+02,225,205,238,  1914.0,"0ImJmLrmJU3owafgtveadmTE","11"
